OUTPUT FROM: poly3d_omp, version 3.0
   COMPILED: Jan 19 2026

 INPUT FILE: 800elts.in
     TITLE1: Converted from 800elts.ts by ts2in.pl
     TITLE2: Wed Dec 24 00:00:41 2014

ELASTIC CONSTANTS:
    Shear Modulus   = 30000.000000
    Poisson's Ratio = 0.250000
    Young's Modulus = 75000.000000
    Bulk Modulus    = 50000.000000
    Lame's Lambda   = 30000.000000

NULL OUPUT VALUE = -999.000000

COEF EXCLUSION VALUE = 0.000000

CONDITION NUMBER = 88.376662


====================================================
              OBJECT: str090Dip45
ELT CENTER COORD SYS: global
====================================================

DISPLACEMENTS:

   ELT                X1C                X2C                X3C                 B1              U1(+)              U1(-)                 B2              U2(+)              U2(-)                 B3              U3(+)              U3(-) Coord Sys
    47       1666.6666667       -471.4045208       -471.4045208  -8.0242922914e-04  -4.9156944472e-04   3.1085978442e-04  -1.0157999856e-04  -1.1260090608e-04  -1.1020907526e-05   0.0000000000e+00   1.3217022403e-04   1.3217022403e-04 elocal
    48       1833.3333333       -589.2556510       -589.2556510  -8.2602646829e-04  -5.0966122977e-04   3.1636523852e-04  -8.6344437766e-05  -9.7152887858e-05  -1.0808450092e-05   0.0000000000e+00   1.2393430788e-04   1.2393430788e-04 elocal
    49       2166.6666667       -471.4045208       -471.4045208  -8.8449304492e-04  -5.4544091049e-04   3.3905213443e-04  -9.4919209546e-05  -1.0286518230e-04  -7.9459727574e-06   0.0000000000e+00   1.4665415923e-04   1.4665415923e-04 elocal
    50       2333.3333333       -589.2556510       -589.2556510  -9.0356033413e-04  -5.6059970948e-04   3.4296062464e-04  -7.9983559983e-05  -8.8050707126e-05  -8.0671471435e-06   0.0000000000e+00   1.3673810987e-04   1.3673810987e-04 elocal
    51       2666.6666667       -471.4045208       -471.4045208  -9.4735378082e-04  -5.8664472088e-04   3.6070905994e-04  -8.2926297001e-05  -8.8712319548e-05  -5.7860225475e-06   0.0000000000e+00   1.5770714583e-04   1.5770714583e-04 elocal
    52       2833.3333333       -589.2556510       -589.2556510  -9.6272282777e-04  -5.9942382442e-04   3.6329900335e-04  -6.8961241087e-05  -7.5018026535e-05  -6.0567854473e-06   0.0000000000e+00   1.4658762621e-04   1.4658762621e-04 elocal
    53       3166.6666667       -471.4045208       -471.4045208  -9.9484106417e-04  -6.1772461253e-04   3.7711645164e-04  -6.7527198829e-05  -7.1765967396e-05  -4.2387685672e-06   0.0000000000e+00   1.6599659822e-04   1.6599659822e-04 elocal
    54       3333.3333333       -589.2556510       -589.2556510  -1.0069938121e-03  -6.2842621181e-04   3.7856760033e-04  -5.4882145184e-05  -5.9418176649e-05  -4.5360314647e-06   0.0000000000e+00   1.5397739888e-04   1.5397739888e-04 elocal
    55       3666.6666667       -471.4045208       -471.4045208  -1.0293103246e-03  -6.4025577352e-04   3.8905455103e-04  -4.9952752665e-05  -5.3052881754e-05  -3.1001290883e-06   0.0000000000e+00   1.7195168671e-04   1.7195168671e-04 elocal
    56       3833.3333333       -589.2556510       -589.2556510  -1.0385378247e-03  -6.4904573166e-04   3.8949209299e-04  -3.8827407940e-05  -4.2167607331e-05  -3.3401993907e-06   0.0000000000e+00   1.5924110207e-04   1.5924110207e-04 elocal
